,제목,가격,강사,URL,카테고리,리뷰
235,네트워크 패킷 분석 입문 및 악성코드 샘플 분석,"₩132,000",보안프로젝트,https://edu.goorm.io/lecture/13438/네트워크-패킷-분석-입문-및-악성코드-샘플-분석,프로그래밍 - 보안,[]
236,안드로이드 + 파이어베이스 SNS앱 만들기,무료,Bored Developer,https://edu.goorm.io/lecture/13523/안드로이드-파이어베이스-sns앱-만들기,프로그래밍 - 모바일 프로그래밍,['so cool']
237,HTML5와 웹표준 제대로 배우기,"₩30,000",아이티고,https://edu.goorm.io/lecture/13350/html5와-웹표준-제대로-배우기,웹 프로그래밍 - 프로그래밍,[]
238,실무 웹 제작 강의노트,"₩52,000",아이티고,https://edu.goorm.io/lecture/13343/실무-웹-제작-강의노트,웹 프로그래밍 - 프로그래밍,[]
239,비박스를 활용한 웹 모의해킹 완벽 실습,"₩132,000",보안프로젝트,https://edu.goorm.io/lecture/13272/비박스를-활용한-웹-모의해킹-완벽-실습,프로그래밍 - 보안,[]
240,HTML5 Canvas 2D 제대로 배우기,"₩20,000",아이티고,https://edu.goorm.io/lecture/13337/html5-canvas-2d-제대로-배우기,웹 프로그래밍 - 프로그래밍,[]
241,Wix(윅스)로 간단하게 홈페이지 만들기,"₩18,000",아이티고,https://edu.goorm.io/lecture/13342/wix-윅스-로-간단하게-홈페이지-만들기,프로그래밍 - 기타,[]
242,오픈 소스 도구를 활용한 웹 해킹 및 스노트 분석 - 침해대응,"₩99,000",보안프로젝트,https://edu.goorm.io/lecture/13273/오픈-소스-도구를-활용한-웹-해킹-및-스노트-분석-침해대응,프로그래밍 - 보안,[]
243,유니티3D 실전 게임 개발 프로젝트 - 디펜스게임,"₩36,300",소프트캠퍼스,https://edu.goorm.io/lecture/13356/유니티3d-실전-게임-개발-프로젝트-디펜스게임,프로그래밍 - 게임 개발,[]
244,유니티3D 실전 게임 개발 프로젝트 - 클리커게임,"₩16,500",소프트캠퍼스,https://edu.goorm.io/lecture/13355/유니티3d-실전-게임-개발-프로젝트-클리커게임,프로그래밍 - 게임 개발,[]
245,처음 시작하는 HTML&HTML5 Tutorial,"₩16,500",소프트캠퍼스,https://edu.goorm.io/lecture/13354/처음-시작하는-html-html5-tutorial,웹 프로그래밍 - 프로그래밍,[]
246,처음 시작하는 jQuery Programming,"₩16,500",소프트캠퍼스,https://edu.goorm.io/lecture/13363/처음-시작하는-jquery-programming,웹 프로그래밍 - 프로그래밍,[]
247,처음 시작하는 파이썬,"₩16,500",소프트캠퍼스,https://edu.goorm.io/lecture/13351/처음-시작하는-파이썬,프로그래밍 - 프로그래밍 기초,[]
248,처음 시작하는 MySQL DataBase,"₩16,500",소프트캠퍼스,https://edu.goorm.io/lecture/13353/처음-시작하는-mysql-database,프로그래밍 - 데이터베이스,[]
249,처음 시작하는 C언어,무료,소프트캠퍼스,https://edu.goorm.io/lecture/13352/처음-시작하는-c언어,프로그래밍 - 프로그래밍 기초,['괜찮습니다.\n그다지 어려운 용어를 사용하지도 않고 쉽게 잘\n알려주셨습니다.']
250,처음 시작하는 JavaScript Programming,"₩16,500",소프트캠퍼스,https://edu.goorm.io/lecture/13334/처음-시작하는-javascript-programming,웹 프로그래밍 - 프로그래밍,[]
251,겜팔이의 안드로이드 세뇌교실: 인★그램 개발부터 배포까지,무료,겜팔이,https://edu.goorm.io/lecture/13313/겜팔이의-안드로이드-세뇌교실-인-그램-개발부터-배포까지,프로그래밍 - 모바일 프로그래밍,[]
